Dt, Knn, Mlp, Nb, Svm
0.843931, 0.832370, 0.826590, 0.826590, 0.843931
0.861272, 0.884393, 0.861272, 0.838150, 0.867052
0.890173, 0.878613, 0.867052, 0.878613, 0.878613
0.884393, 0.867052, 0.682081, 0.832370, 0.843931
0.884393, 0.907514, 0.780347, 0.884393, 0.884393
0.838150, 0.872832, 0.838150, 0.849711, 0.855491
0.832370, 0.849711, 0.832370, 0.832370, 0.855491
0.826590, 0.861272, 0.826590, 0.843931, 0.867052
0.832370, 0.849711, 0.820809, 0.849711, 0.867052
0.849711, 0.867052, 0.855491, 0.838150, 0.872832
0.843931, 0.872832, 0.849711, 0.849711, 0.843931
0.843931, 0.884393, 0.878613, 0.890173, 0.849711
0.849711, 0.878613, 0.820809, 0.867052, 0.890173
0.826590, 0.843931, 0.815029, 0.838150, 0.861272
0.878613, 0.849711, 0.849711, 0.855491, 0.838150
0.815029, 0.884393, 0.791908, 0.855491, 0.867052
0.861272, 0.861272, 0.734104, 0.855491, 0.867052
0.843931, 0.820809, 0.797688, 0.832370, 0.826590
0.826590, 0.884393, 0.843931, 0.867052, 0.861272
0.786127, 0.878613, 0.809249, 0.838150, 0.861272

0.845954, 0.866474, 0.819075, 0.851156, 0.860116
